J7TWC0-1	J7TWC0-2	J7TWC0-3	J7TBC0-1	J7TBC0-2	J7TBC0-3	J4TWC0-1	J4TWC0-2	J4TWC0-3	J4TBC0-1	J4TBC0-2	J4TBC0-3	J7TWC48-1	J7TWC48-2	J7TWC48-3	J7TBC48-1	J7TBC48-2	J7TBC48-3	J4TWC48-1	J4TWC48-2	J4TWC48-3	J4TBC48-1	J4TBC48-2	J4TBC48-3	J7TWR48-1	J7TWR48-2	J7TWR48-3	J7TBR48-1	J7TBR48-2	J7TBR48-3	J4TWR48-1	J4TWR48-2	J4TWR48-3	J4TBR48-1	J4TBR48-2	J4TBR48-3
J7TWC0-1	1	0.886460603861663	0.884219963910022	0.315919499139368	0.324064883109182	0.33469771397979	-0.474244701097479	-0.486349307607451	-0.487695554672107	-0.259000130017199	-0.176927120240764	-0.257625337789172	0.314003811710666	0.321109459207506	0.257742824976946	0.338535818048536	0.354648572795446	0.341472902754532	-0.505041290321264	-0.564076819469379	-0.449314009824706	-0.395244616583298	-0.510523040441317	-0.464064179339838	0.419557437055758	0.492494009082762	0.479470976405453	0.363072856223847	0.416463578249284	0.42568249846823	-0.512258612622048	-0.524504080229108	-0.476676891673803	-0.539766131719575	-0.544286898215659	-0.538818747824008
J7TWC0-2	0.886460603861663	1	0.92316336598634	0.311469866846381	0.385185133401951	0.385255255832819	-0.40471356066627	-0.420365063086633	-0.413009426329022	-0.305920082441303	-0.234622365706564	-0.277941992756809	0.381269588621095	0.382303577365321	0.331333229397392	0.406302591468648	0.418607017671678	0.425139767450499	-0.568066120408286	-0.558089006984569	-0.560753637366516	-0.433682782549091	-0.427299932700018	-0.408458390852193	0.392267934421656	0.368052136997274	0.369976812161773	0.310128480423103	0.418665151011997	0.411262978633427	-0.574874171018281	-0.543752240563033	-0.533800166257069	-0.5967978637029	-0.56661835412341	-0.582912993278481
J7TWC0-3	0.884219963910022	0.92316336598634	1	0.353903498796769	0.404919909929959	0.417687314401995	-0.388295331845704	-0.413375049345638	-0.409989064182015	-0.294443841150933	-0.205933319299585	-0.278297959781025	0.360417778251519	0.39998769079193	0.343164985779326	0.394399236494978	0.427792676543856	0.404209923213583	-0.615027393309583	-0.583121005309448	-0.559284264959113	-0.482692478247619	-0.463369189553328	-0.430237205037314	0.437439273295044	0.383841877466331	0.406168027769018	0.347393746861596	0.422541702615458	0.413764369029159	-0.589390228491979	-0.562322237978238	-0.554157222236616	-0.61183213092337	-0.593265190611636	-0.606301579934745
J7TBC0-1	0.315919499139368	0.311469866846381	0.353903498796769	1	0.863531690455708	0.858954768296555	-0.228592660736734	-0.207922327766116	-0.22365855670856	0.0558396817458071	-0.073753240859182	-0.129146675449236	0.321182325295238	0.361939402343491	0.356362920789677	0.143048087566095	0.198294408333636	0.182124771365093	-0.603276497179406	-0.612735964071383	-0.402262489705405	-0.546132086687351	-0.574668658761457	-0.635832836226513	0.333666049090234	0.224611775490803	0.227778618307825	0.21126504350581	0.396480930223202	0.47702986918719	-0.480624943584243	-0.495651815364804	-0.502754481142956	-0.569280626708431	-0.581414582716974	-0.581078367442837
J7TBC0-2	0.324064883109182	0.385185133401951	0.404919909929959	0.863531690455708	1	0.963241433917798	-0.232377467065802	-0.184205056400175	-0.201462757994871	-0.00604046200614927	-0.119765840402061	-0.129429138297256	0.406987098221039	0.45094004410397	0.422926660058205	0.205354730392357	0.239164337772328	0.242379993265681	-0.713199753180884	-0.671835300227676	-0.606376984253892	-0.635447931219526	-0.546852268048812	-0.643216841317761	0.337882260992259	0.175856137432566	0.222816480326204	0.207972756436779	0.492311406090742	0.555230361003142	-0.525000230063951	-0.522192440529886	-0.524602757259301	-0.598619986690428	-0.623455010858107	-0.607835968465921
J7TBC0-3	0.33469771397979	0.385255255832819	0.417687314401995	0.858954768296555	0.963241433917798	1	-0.268130194927772	-0.208994381094667	-0.232312238647375	-0.0194334524972663	-0.123848680763119	-0.134381080611522	0.412671031403247	0.444343770415996	0.430494042550668	0.211672493369688	0.247844155605022	0.242618090420675	-0.69596334615626	-0.660346751878961	-0.597640195302745	-0.623697538030652	-0.55631625224449	-0.631492747797321	0.334369230964505	0.190607091350844	0.232126800243857	0.225756004526254	0.491813363160942	0.55482812394833	-0.532141237404698	-0.517077956517863	-0.529652702576126	-0.603060221541825	-0.628878639408524	-0.606442360651408
J4TWC0-1	-0.474244701097479	-0.40471356066627	-0.388295331845704	-0.228592660736734	-0.232377467065802	-0.268130194927772	1	0.91473792810196	0.909517360992029	0.52092600594006	0.466729141644842	0.476594690810138	-0.553528633567937	-0.507197656424786	-0.49321853149846	-0.591572058554511	-0.559019546788228	-0.57131759855451	0.329945103179791	0.408624518089378	0.312564234417944	0.362522532207048	0.512983554037848	0.446552557716734	-0.492158434120013	-0.657968462269435	-0.62847246678561	-0.457379653175848	-0.456716249233651	-0.408339852484645	0.244870071402377	0.2459756608663	0.237884760836452	0.235489219606146	0.266646343181819	0.241857997509803
J4TWC0-2	-0.486349307607451	-0.420365063086633	-0.413375049345638	-0.207922327766116	-0.184205056400175	-0.208994381094667	0.91473792810196	1	0.935985557600047	0.517484237531171	0.377566446217508	0.443594492280986	-0.533218180476821	-0.472783638263275	-0.458295200954175	-0.56264749988914	-0.521954060919979	-0.551959176774142	0.312478617248095	0.37914643726386	0.232854701165896	0.328418679157737	0.484025606706066	0.432877284269847	-0.489330150995718	-0.684503793670444	-0.606643428785484	-0.479929657084248	-0.432152570280434	-0.377732853334823	0.261207145029437	0.230915112202791	0.24413970037386	0.257007004567936	0.248674981375597	0.250458861065805
J4TWC0-3	-0.487695554672107	-0.413009426329022	-0.409989064182015	-0.22365855670856	-0.201462757994871	-0.232312238647375	0.909517360992029	0.935985557600047	1	0.517870261081886	0.361909175488536	0.439375181974426	-0.508896939227175	-0.454245798420436	-0.439930181192097	-0.553693335051185	-0.511259305277681	-0.527933906739956	0.310785304167471	0.4025625869222	0.203942266875423	0.313258559842076	0.495611843773793	0.429181058692864	-0.482415411840562	-0.689000535010936	-0.602784833549889	-0.479878837566779	-0.427672433643037	-0.373089982452039	0.244686901759005	0.241450374216322	0.228715801694794	0.261122364955223	0.266741659127243	0.242831424767735
J4TBC0-1	-0.259000130017199	-0.305920082441303	-0.294443841150933	0.0558396817458071	-0.00604046200614927	-0.0194334524972663	0.52092600594006	0.517484237531171	0.517870261081886	1	0.788790088158596	0.81696806287059	-0.543214952431663	-0.569765460902731	-0.528686237122964	-0.61698120206435	-0.601232759723981	-0.63076850977604	0.242981771907786	0.216192539537323	0.266265802087948	0.376660211272487	0.336225783304022	0.229609127397441	-0.387294021348459	-0.46570478693064	-0.47638946506653	-0.533968908355073	-0.488151729443181	-0.353085033488457	0.216593775826729	0.164494098413845	0.210754053636912	0.0970905089831913	0.0754366762049471	0.0677557511285834
J4TBC0-2	-0.176927120240764	-0.234622365706564	-0.205933319299585	-0.073753240859182	-0.119765840402061	-0.123848680763119	0.466729141644842	0.377566446217508	0.361909175488536	0.788790088158596	1	0.874918569446003	-0.514145315316125	-0.56328262524708	-0.551433141106299	-0.653913279703007	-0.649041803610543	-0.647575815008709	0.260841933522538	0.246158465273123	0.326630881855231	0.435943709832879	0.377680813452359	0.280567886560136	-0.429880118900527	-0.389707548018838	-0.45487917461173	-0.393913824807008	-0.438871331310925	-0.37814748676517	0.235857951619046	0.187392863152383	0.217643940535596	0.0837903303324296	0.0948486600958672	0.0866173626971051
J4TBC0-3	-0.257625337789172	-0.277941992756809	-0.278297959781025	-0.129146675449236	-0.129429138297256	-0.134381080611522	0.476594690810138	0.443594492280986	0.439375181974426	0.81696806287059	0.874918569446003	1	-0.529347833366667	-0.57787561792651	-0.546671531357559	-0.665321663847985	-0.691021537570057	-0.674286065871978	0.307882999837004	0.297790697948696	0.2550089759312	0.477755068010971	0.446091306126239	0.338173681720193	-0.499909756839394	-0.46927962715115	-0.480041870626297	-0.465282301058221	-0.454736887861382	-0.389225744483579	0.289874855081698	0.230227366006131	0.269546973362512	0.152090265789182	0.127531197546789	0.128658881858245
J7TWC48-1	0.314003811710666	0.381269588621095	0.360417778251519	0.321182325295238	0.406987098221039	0.412671031403247	-0.553528633567937	-0.533218180476821	-0.508896939227175	-0.543214952431663	-0.514145315316125	-0.529347833366667	1	0.903719803886374	0.896720034141023	0.72635720744493	0.695575492264805	0.709331998812355	-0.403519719055651	-0.419698576108417	-0.395275041609038	-0.394003738425888	-0.372348783732118	-0.344766378113204	0.20895799558795	0.255143357351588	0.238503840054276	0.316562705388897	0.384755052913226	0.337521273914396	-0.55503464944384	-0.545076126855425	-0.542541118401573	-0.509981438426762	-0.504674757437782	-0.508924373345331
J7TWC48-2	0.321109459207506	0.382303577365321	0.39998769079193	0.361939402343491	0.45094004410397	0.444343770415996	-0.507197656424786	-0.472783638263275	-0.454245798420436	-0.569765460902731	-0.56328262524708	-0.57787561792651	0.903719803886374	1	0.903571041909985	0.729372355065791	0.721985637811124	0.719899499461154	-0.460550286414694	-0.433311386824243	-0.453414070593137	-0.48001983919511	-0.413100889868912	-0.386802027931725	0.254691047969424	0.220882351830721	0.268813193832124	0.321023585632544	0.403781489059753	0.360809016637483	-0.55813711439706	-0.550724955275267	-0.564756833571382	-0.506452118071194	-0.513869774682346	-0.510983416375048
J7TWC48-3	0.257742824976946	0.331333229397392	0.343164985779326	0.356362920789677	0.422926660058205	0.430494042550668	-0.49321853149846	-0.458295200954175	-0.439930181192097	-0.528686237122964	-0.551433141106299	-0.546671531357559	0.896720034141023	0.903571041909985	1	0.747889950161606	0.739600108859355	0.751370678983819	-0.403437352607223	-0.374104922648191	-0.396116991993109	-0.434283363211444	-0.358585451143896	-0.36244909680675	0.263142142632085	0.210516895669192	0.210610168019525	0.259815888911237	0.373215365368677	0.321942799472207	-0.592507318521358	-0.565981068681832	-0.57982733918572	-0.523372890389333	-0.508690679825421	-0.516072242842315
J7TBC48-1	0.338535818048536	0.406302591468648	0.394399236494978	0.143048087566095	0.205354730392357	0.211672493369688	-0.591572058554511	-0.56264749988914	-0.553693335051185	-0.61698120206435	-0.653913279703007	-0.665321663847985	0.72635720744493	0.729372355065791	0.747889950161606	1	0.926388054431974	0.935209536030839	-0.289340949825675	-0.270919428036454	-0.283490758197829	-0.343699142340974	-0.309766394282124	-0.272235119134473	0.324891576088001	0.290501933308553	0.283770868865053	0.252617021523178	0.303685756657394	0.24343000359698	-0.569127855860548	-0.545787904951205	-0.566248841812777	-0.40349845901889	-0.369479286974117	-0.379177667663894
