c_number	Ko_ID	KEGG_pathway_def	Compound_def
C00001	ko01100	Metabolic pathways	H2O; Water
C00002	ko01100	Metabolic pathways	ATP; Adenosine 5'-triphosphate
C00003	ko01100	Metabolic pathways	NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+
C00004	ko01100	Metabolic pathways	NADH; DPNH; Reduced nicotinamide adenine dinucleotide
C00005	ko01100	Metabolic pathways	NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate
C00006	ko01100	Metabolic pathways	NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide pho
C00007	ko01100	Metabolic pathways	Oxygen; O2
C00008	ko01100	Metabolic pathways	ADP; Adenosine 5'-diphosphate
C00010	ko01100	Metabolic pathways	CoA; Coenzyme A; CoA-SH
C00011	ko01100	Metabolic pathways	CO2; Carbon dioxide
C00012	ko01100	Metabolic pathways	Peptide
C00014	ko01100	Metabolic pathways	Ammonia; NH3
C00015	ko01100	Metabolic pathways	UDP; Uridine 5'-diphosphate
C00016	ko01100	Metabolic pathways	FAD; Flavin adenine dinucleotide
C00018	ko01100	Metabolic pathways	Pyridoxal phosphate; Pyridoxal 5'-phosphate; Pyridoxal 5-phosphate; PLP
C00019	ko01100	Metabolic pathways	S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM
C00020	ko01100	Metabolic pathways	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine mo
C00021	ko01100	Metabolic pathways	S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine
C00022	ko01100	Metabolic pathways	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid
C00024	ko01100	Metabolic pathways	Acetyl-CoA; Acetyl coenzyme A
C00025	ko01100	Metabolic pathways	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
C00026	ko01100	Metabolic pathways	2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid
C00029	ko01100	Metabolic pathways	UDP-glucose; UDPglucose; UDP-D-glucose; Uridine diphosphate glucose; UDP-alpha-D-glucose
C00031	ko01100	Metabolic pathways	D-Glucose; Grape sugar; Dextrose; Glucose; D-Glucopyranose
C00032	ko01100	Metabolic pathways	Heme; Haem; Protoheme; Heme B; Protoheme IX
C00033	ko01100	Metabolic pathways	Acetate; Acetic acid; Ethanoic acid
C00034	ko01100	Metabolic pathways	Manganese
C00035	ko01100	Metabolic pathways	GDP; Guanosine 5'-diphosphate; Guanosine diphosphate
C00036	ko01100	Metabolic pathways	Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; 2-Oxosuccinic acid; keto-Oxa
C00037	ko01100	Metabolic pathways	Glycine; Aminoacetic acid; Gly
C00039	ko01100	Metabolic pathways	DNA; DNAn; DNAn+1; (Deoxyribonucleotide)n; (Deoxyribonucleotide)m; (Deoxyribonucleotide)n+m; Deoxyri
C00041	ko01100	Metabolic pathways	L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine
C00042	ko01100	Metabolic pathways	Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid
C00043	ko01100	Metabolic pathways	UDP-N-acetyl-alpha-D-glucosamine; UDP-N-acetyl-D-glucosamine; UDP-N-acetylglucosamine
C00044	ko01100	Metabolic pathways	GTP; Guanosine 5'-triphosphate
C00046	ko01100	Metabolic pathways	RNA; RNAn; RNAn+1; RNA(linear); (Ribonucleotide)n; (Ribonucleotide)m; (Ribonucleotide)n+m; Ribonucle
C00047	ko01100	Metabolic pathways	L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid
C00048	ko01100	Metabolic pathways	Glyoxylate; Glyoxalate; Glyoxylic acid
C00049	ko01100	Metabolic pathways	L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp
C00051	ko01100	Metabolic pathways	Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glu
C00052	ko01100	Metabolic pathways	UDP-alpha-D-galactose; UDP-D-galactose; UDP-galactose; UDP-D-galactopyranose; UDP-alpha-D-galactopyr
C00053	ko01100	Metabolic pathways	3'-Phosphoadenylyl sulfate; 3'-Phosphoadenosine 5'-phosphosulfate; 3'-Phospho-5'-adenylyl sulfate; P
C00054	ko01100	Metabolic pathways	Adenosine 3',5'-bisphosphate; PAP; 3'-Phosphoadenylate; Phosphoadenosine phosphate
C00055	ko01100	Metabolic pathways	CMP; Cytidine-5'-monophosphate; Cytidylic acid
C00058	ko01100	Metabolic pathways	Formate; Methanoic acid; Formic acid
C00059	ko01100	Metabolic pathways	Sulfate; Sulfuric acid
C00061	ko01100	Metabolic pathways	FMN; Riboflavin-5-phosphate; Flavin mononucleotide
C00062	ko01100	Metabolic pathways	L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg
C00063	ko01100	Metabolic pathways	CTP; Cytidine 5'-triphosphate; Cytidine triphosphate
C00064	ko01100	Metabolic pathways	L-Glutamine; L-2-Aminoglutaramic acid
C00065	ko01100	Metabolic pathways	L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine
C00067	ko01100	Metabolic pathways	Formaldehyde; Methanal; Oxomethane; Oxomethylene; Methylene oxide; Formalin
C00068	ko01100	Metabolic pathways	Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP
C00072	ko01100	Metabolic pathways	Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C
C00073	ko01100	Metabolic pathways	L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid
C00074	ko01100	Metabolic pathways	Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP
C00075	ko01100	Metabolic pathways	UTP; Uridine 5'-triphosphate; Uridine triphosphate
C00077	ko01100	Metabolic pathways	L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate
C00078	ko01100	Metabolic pathways	L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid
C00079	ko01100	Metabolic pathways	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid
