KOG_ID	ko01100_module_ID
K00844	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K12407	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K00845	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K25026	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K00886	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K08074	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K00918	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K01810	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K06859	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K13810	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K15916	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K00850	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K16370	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K21071	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K00918	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K01623	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K01624	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K11645	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K16305	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K16306	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K01803	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K00134	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K00150	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K00927	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K11389	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K01834	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K15633	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K15634	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K15635	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K01689	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K00873	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K12406	M00001: Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
K01803	M00002: Glycolysis_core_module_involving_three_carbon_compounds
K00134	M00002: Glycolysis_core_module_involving_three_carbon_compounds
K00150	M00002: Glycolysis_core_module_involving_three_carbon_compounds
K00927	M00002: Glycolysis_core_module_involving_three_carbon_compounds
K11389	M00002: Glycolysis_core_module_involving_three_carbon_compounds
K01834	M00002: Glycolysis_core_module_involving_three_carbon_compounds
K15633	M00002: Glycolysis_core_module_involving_three_carbon_compounds
K15634	M00002: Glycolysis_core_module_involving_three_carbon_compounds
K15635	M00002: Glycolysis_core_module_involving_three_carbon_compounds
K01689	M00002: Glycolysis_core_module_involving_three_carbon_compounds
K00873	M00002: Glycolysis_core_module_involving_three_carbon_compounds
K12406	M00002: Glycolysis_core_module_involving_three_carbon_compounds
K01596	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K01610	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K01689	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K01834	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K15633	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K15634	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K15635	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K00927	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K00134	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K00150	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K01803	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K01623	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K01624	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K11645	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K03841	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K02446	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K11532	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K01086	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K04041	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K01622	M00003: Gluconeogenesis_oxaloacetate_fructose_6P
K13937	M00004: Pentose_phosphate_pathway_Pentose_phosphate_cycle
K00036	M00004: Pentose_phosphate_pathway_Pentose_phosphate_cycle
K19243	M00004: Pentose_phosphate_pathway_Pentose_phosphate_cycle
K01057	M00004: Pentose_phosphate_pathway_Pentose_phosphate_cycle
K07404	M00004: Pentose_phosphate_pathway_Pentose_phosphate_cycle
K00033	M00004: Pentose_phosphate_pathway_Pentose_phosphate_cycle
K01783	M00004: Pentose_phosphate_pathway_Pentose_phosphate_cycle
K01807	M00004: Pentose_phosphate_pathway_Pentose_phosphate_cycle
K01808	M00004: Pentose_phosphate_pathway_Pentose_phosphate_cycle
K00615	M00004: Pentose_phosphate_pathway_Pentose_phosphate_cycle
K00616	M00004: Pentose_phosphate_pathway_Pentose_phosphate_cycle
K01810	M00004: Pentose_phosphate_pathway_Pentose_phosphate_cycle
K06859	M00004: Pentose_phosphate_pathway_Pentose_phosphate_cycle
K15916	M00004: Pentose_phosphate_pathway_Pentose_phosphate_cycle
K13810	M00004: Pentose_phosphate_pathway_Pentose_phosphate_cycle
K00948	M00005: PRPP_biosynthesis_ribose_5P_PRPP
K13937	M00006: Pentose_phosphate_pathway_oxidative_phase_glucose_6P_ribulose_5P
K00036	M00006: Pentose_phosphate_pathway_oxidative_phase_glucose_6P_ribulose_5P
K19243	M00006: Pentose_phosphate_pathway_oxidative_phase_glucose_6P_ribulose_5P
K01057	M00006: Pentose_phosphate_pathway_oxidative_phase_glucose_6P_ribulose_5P
K07404	M00006: Pentose_phosphate_pathway_oxidative_phase_glucose_6P_ribulose_5P
K00033	M00006: Pentose_phosphate_pathway_oxidative_phase_glucose_6P_ribulose_5P
K00615	M00007: Pentose_phosphate_pathway_non_oxidative_phase_fructose_6P_ribose_5P
K00616	M00007: Pentose_phosphate_pathway_non_oxidative_phase_fructose_6P_ribose_5P
K13810	M00007: Pentose_phosphate_pathway_non_oxidative_phase_fructose_6P_ribose_5P
K01783	M00007: Pentose_phosphate_pathway_non_oxidative_phase_fructose_6P_ribose_5P
K01807	M00007: Pentose_phosphate_pathway_non_oxidative_phase_fructose_6P_ribose_5P
K01808	M00007: Pentose_phosphate_pathway_non_oxidative_phase_fructose_6P_ribose_5P
K00036	M00008: Entner_Doudoroff_pathway_glucose_6P_glyceraldehyde_3P_pyruvate
K01057	M00008: Entner_Doudoroff_pathway_glucose_6P_glyceraldehyde_3P_pyruvate
K07404	M00008: Entner_Doudoroff_pathway_glucose_6P_glyceraldehyde_3P_pyruvate
K01690	M00008: Entner_Doudoroff_pathway_glucose_6P_glyceraldehyde_3P_pyruvate
K01625	M00008: Entner_Doudoroff_pathway_glucose_6P_glyceraldehyde_3P_pyruvate
K01647	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K05942	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K01681	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K01682	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00031	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00030	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00164	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00658	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K01616	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00382	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00174	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00175	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00177	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00176	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K01902	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K01903	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K01899	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K01900	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K18118	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00234	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00235	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00236	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00237	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K25801	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00239	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00240	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00241	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00242	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K18859	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K18860	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00244	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00245	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00246	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00247	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K01676	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K01679	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K01677	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K01678	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00026	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00025	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
